Date,Open,Close,High,Low,Vol.,Change %
117,"Jan 03, 2023","16,674.2","16,673.1","16,773.2","16,607.2",178.73K,0.00%
118,"Jan 02, 2023","16,674.3","16,618.4","16,766.9","16,551.0",136.03K,0.34%
119,"Jan 01, 2023","16,618.4","16,537.5","16,621.9","16,499.7",107.84K,0.49%
120,"Dec 31, 2022","16,537.4","16,607.2","16,635.9","16,487.3",130.44K,-0.42%
121,"Dec 30, 2022","16,607.2","16,636.4","16,644.4","16,360.0",192.76K,-0.18%
122,"Dec 29, 2022","16,636.4","16,546.2","16,659.1","16,496.6",181.47K,0.55%
123,"Dec 28, 2022","16,546.2","16,705.9","16,781.1","16,474.2",217.96K,-0.96%
124,"Dec 27, 2022","16,706.1","16,918.2","16,964.0","16,610.1",192.18K,-1.25%
125,"Dec 26, 2022","16,918.1","16,831.8","16,936.1","16,799.4",133.36K,0.51%
126,"Dec 25, 2022","16,831.8","16,835.7","16,852.9","16,733.0",132.89K,-0.03%
127,"Dec 24, 2022","16,837.2","16,778.6","16,855.8","16,777.8",110.12K,0.35%
128,"Dec 23, 2022","16,779.1","16,820.5","16,910.7","16,768.0",184.12K,-0.25%
129,"Dec 22, 2022","16,820.6","16,831.8","16,862.2","16,566.1",198.28K,-0.07%
130,"Dec 21, 2022","16,831.8","16,902.7","16,919.4","16,735.0",174.34K,-0.42%
131,"Dec 20, 2022","16,902.8","16,441.3","17,031.3","16,400.7",284.57K,2.81%
132,"Dec 19, 2022","16,441.3","16,741.1","16,809.5","16,331.2",207.93K,-1.79%
133,"Dec 18, 2022","16,741.1","16,777.0","16,825.7","16,666.5",124.29K,-0.21%
134,"Dec 17, 2022","16,777.1","16,629.0","16,794.4","16,587.0",164.49K,0.89%
135,"Dec 16, 2022","16,629.6","17,356.7","17,518.5","16,542.4",303.56K,-4.19%
136,"Dec 15, 2022","17,356.1","17,796.4","17,846.1","17,298.2",263.44K,-2.47%
137,"Dec 14, 2022","17,796.4","17,778.6","18,351.8","17,682.1",318.98K,0.10%
138,"Dec 13, 2022","17,778.6","17,210.9","17,951.6","17,094.5",328.71K,3.30%
139,"Dec 12, 2022","17,210.4","17,093.2","17,232.5","16,878.5",249.39K,0.68%
140,"Dec 11, 2022","17,093.3","17,127.0","17,262.9","17,080.6",167.20K,-0.20%
141,"Dec 10, 2022","17,127.2","17,125.7","17,220.5","17,105.7",148.81K,0.01%
142,"Dec 09, 2022","17,125.7","17,225.6","17,288.6","17,082.1",260.84K,-0.58%
143,"Dec 08, 2022","17,225.7","16,835.2","17,294.2","16,765.8",261.64K,2.32%
144,"Dec 07, 2022","16,835.2","17,089.4","17,126.7","16,715.3",244.36K,-1.49%
145,"Dec 06, 2022","17,089.3","16,966.3","17,101.1","16,914.9",246.19K,0.72%
146,"Dec 05, 2022","16,966.5","17,106.9","17,395.2","16,886.9",268.72K,-0.85%
147,"Dec 04, 2022","17,112.6","16,884.8","17,198.1","16,881.6",197.12K,1.35%
148,"Dec 03, 2022","16,884.5","17,093.4","17,132.6","16,862.1",169.29K,-1.22%
149,"Dec 02, 2022","17,093.6","16,972.2","17,096.2","16,799.9",227.01K,0.72%
150,"Dec 01, 2022","16,972.0","17,163.4","17,244.7","16,868.9",266.14K,-1.12%
151,"Nov 30, 2022","17,163.9","16,440.8","17,215.5","16,433.2",348.22K,4.40%
152,"Nov 29, 2022","16,440.4","16,211.9","16,531.4","16,100.1",271.58K,1.41%
153,"Nov 28, 2022","16,211.7","16,426.1","16,481.4","16,013.5",284.84K,-1.30%
154,"Nov 27, 2022","16,425.6","16,456.4","16,595.4","16,414.6",173.25K,-0.19%
155,"Nov 26, 2022","16,456.5","16,512.3","16,686.3","16,387.9",194.94K,-0.34%
156,"Nov 25, 2022","16,512.3","16,600.6","16,611.8","16,360.9",204.07K,-0.54%
157,"Nov 24, 2022","16,601.2","16,604.9","16,785.6","16,472.0",229.59K,-0.14%
158,"Nov 23, 2022","16,623.9","16,216.9","16,677.6","16,162.3",305.08K,2.53%
159,"Nov 22, 2022","16,212.9","15,776.6","16,274.6","15,620.4",287.21K,2.77%
160,"Nov 21, 2022","15,776.2","16,278.6","16,287.9","15,504.2",372.15K,-3.13%
161,"Nov 20, 2022","16,286.7","16,699.3","16,749.3","16,209.2",172.83K,-2.47%
162,"Nov 19, 2022","16,699.2","16,652.2","16,814.9","16,608.9",114.89K,0.37%
163,"Nov 18, 2022","16,638.3","16,715.4","16,846.3","16,553.0",241.96K,-0.32%
164,"Nov 17, 2022","16,691.2","16,540.5","16,739.7","16,425.8",257.00K,0.91%
165,"Nov 16, 2022","16,540.5","16,895.4","16,993.4","16,408.2",295.73K,-2.10%
166,"Nov 15, 2022","16,895.1","16,615.0","17,112.0","16,543.9",337.15K,1.69%
167,"Nov 14, 2022","16,613.7","16,325.0","17,158.4","15,834.0",442.46K,1.77%
168,"Nov 13, 2022","16,324.5","16,803.9","16,946.5","16,274.9",210.80K,-2.80%
169,"Nov 12, 2022","16,795.2","17,049.9","17,100.8","16,633.9",192.91K,-1.49%
170,"Nov 11, 2022","17,049.9","17,589.1","17,679.4","16,435.5",466.35K,-3.07%
171,"Nov 10, 2022","17,589.1","15,887.0","18,138.2","15,799.3",720.74K,10.71%
172,"Nov 09, 2022","15,886.9","18,538.9","18,583.8","15,603.3",869.57K,-14.25%
173,"Nov 08, 2022","18,527.4","20,589.0","20,667.5","17,260.0",865.10K,-10.01%
174,"Nov 07, 2022","20,589.0","20,916.3","21,055.4","20,410.5",414.24K,-1.56%
175,"Nov 06, 2022","20,916.3","21,298.7","21,360.4","20,901.0",242.26K,-1.81%
176,"Nov 05, 2022","21,301.6","21,145.7","21,464.7","21,084.1",261.23K,0.74%
177,"Nov 04, 2022","21,145.9","20,206.4","21,281.9","20,184.6",499.50K,4.65%
178,"Nov 03, 2022","20,206.4","20,154.0","20,384.5","20,066.6",347.23K,0.26%
179,"Nov 02, 2022","20,154.4","20,482.9","20,778.3","20,065.8",420.23K,-1.61%
180,"Nov 01, 2022","20,483.5","20,496.1","20,676.6","20,348.1",302.72K,-0.06%
181,"Oct 31, 2022","20,496.3","20,626.0","20,822.4","20,260.0",327.47K,-0.63%
182,"Oct 30, 2022","20,626.3","20,809.4","20,922.3","20,522.5",207.63K,-0.88%
183,"Oct 29, 2022","20,809.8","20,594.2","21,038.1","20,561.9",276.54K,1.05%
184,"Oct 28, 2022","20,594.4","20,293.0","20,744.0","20,058.2",318.90K,1.49%
185,"Oct 27, 2022","20,292.9","20,769.5","20,867.9","20,231.6",365.49K,-2.29%
186,"Oct 26, 2022","20,769.5","20,086.8","20,981.5","20,062.9",427.99K,3.42%
187,"Oct 25, 2022","20,082.7","19,331.8","20,406.9","19,249.0",371.54K,3.89%
188,"Oct 24, 2022","19,331.5","19,571.2","19,588.6","19,177.2",286.94K,-1.22%
